Package,Version
spatstat.utils,3.0-1
spelling,2.2
splancs,2.01-43
spocc,1.2.0
spThin,0.2.0
SQUAREM,2021.1
stars,0.6-0
stringi,1.7.12
stringr,1.5.0
svglite,2.1.1
sys,3.4.1
systemfonts,1.0.4
TeachingDemos,2.12
tensor,1.5
terra,1.7-3
testthat,3.1.6
textshaping,0.3.6
tibble,3.1.8
tidyr,1.2.1
tidyselect,1.2.0
timechange,0.2.0
timeDate,4022.108
tinytex,0.43
triebeard,0.4.1
tzdb,0.3.0
units,0.8-1
urlchecker,1.0.1
urltools,1.7.3
usdm,1.1-18
usethis,2.1.6
utf8,1.2.3
uuid,1.1-0
vctrs,0.5.2
viridis,0.6.2
viridisLite,0.4.1
waldo,0.4.0
webshot,0.5.4
wellknown,0.7.4
whisker,0.4.1
whoami,1.3.0
withr,2.5.0
wk,0.7.1
xfun,0.36
xml2,1.3.3
xmlparsedata,1.0.5
xopen,1.0.0
xtable,1.8-4
yaml,2.3.7
zip,2.2.2
zoo,1.8-11
base,4.2.2
boot,1.3-28
class,7.3-20
cluster,2.1.4
codetools,0.2-18
compiler,4.2.2
datasets,4.2.2
foreign,0.8-82
graphics,4.2.2
grDevices,4.2.2
grid,4.2.2
KernSmooth,2.23-20
lattice,0.20-45
MASS,7.3-58
Matrix,1.5-1
methods,4.2.2
mgcv,1.8-41
nlme,3.1-161
nnet,7.3-18
parallel,4.2.2
rpart,4.1.19
spatial,7.3-11
splines,4.2.2
stats,4.2.2
stats4,4.2.2
survival,3.4-0
tcltk,4.2.2
tools,4.2.2
utils,4.2.2
IRkernel,1.3.2
